,Title,Price,Link
0,"Lenovo ThinkPad P15v AMD Ryzen 7 Pro 6850H 15.6""(39.62cm) FHD (1920x1080) IPS 300 Nits Thin and Light Laptop(32GB RAM/1TB SSD/Win 11 Pro/NVIDIA T600 4GB/Backlit Keyboard/FPR/Black/2.26 kg), 21ENS0MV00  ","1,07,000",https://amazon.in//Lenovo-ThinkPad-1920x1080-Keyboard-21ENS0MV00/dp/B0D8SS7PST/ref=sr_1_142?crid=2AZFGVVZZZ6C8&dib=eyJ2IjoiMSJ9.uhOVKi2m8zs4rILPs_OSYLxm5Ww4T15x2mkw8wv5gK2E-jC22ZcOfrNZd91FG6eEilDZCuKiK0oSfXFf5Lbu2VFeT9aYmFUMbIee5mxvwIA5b7DXrNVYxT7p0MTEVRL0o7FEUCcRIOWBp1bvIeAmL_yk401MK1MkN9r64iEZJYEeViRKFHoZHaKixYEWh-dN5CjBVb-YCUO0iq36cyqPuoCHwLGDbG2UtqA3h-ZlaJk.TmIePhWVOqY9MchmHrPfEjOpxNzbVA9u9JhakE5qcHw&dib_tag=se&keywords=laptop&qid=1724515394&sprefix=lapto%2Caps%2C360&sr=8-142
1,"Lenovo S14 Intel Core I5 12th Gen 14"" (35.56 cm) FHD IPS (1920x1080) Antiglare 300Nits Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Pro/Backlit/Cloud Grey/1.5 kg/3Y Premium Care), 82TW001DIH  ","48,490",https://amazon.in//sspa/click?ie=UTF8&spc=MTo3NTE5ODcxODk5Nzc3OTYyOjE3MjQ1MTUzNTM6c3BfYXRmOjMwMDA2MTc1OTAzNzczMjo6MDo6&url=%2FLenovo-1920x1080-Antiglare-300Nits-82TW001DIH%2Fdp%2FB0CH8D6F4N%2Fref%3Dsr_1_2_sspa%3Fcrid%3D2AZFGVVZZZ6C8%26dib%3DeyJ2IjoiMSJ9.vEMlSgt1LZE1LPvJ3hhaaf1UeTD-8MF_rF4SJIMG42J-9Xwfo03-jZPdW-Qujx9Au5GJ161ZQ83gh5frd1-RpFy5FxttWTfCpq5c-DYU8vtYW23HSSMsk_y7LjLBK0jUXuhmQF88VcES9d8FFudj4ACiPRoIvQOqmB1mdeRD_3Skp3f-fNzIcn7nI3mfSkwMwC5PuE7wVVQ23UsvYfiLLN7jvA9V4plEATFF20HB4mk.27BaNQ-rnDQEi8crS9SRe_dbodi1JzEoZECegU_qSI4%26dib_tag%3Dse%26keywords%3Dlaptop%26qid%3D1724515353%26sprefix%3Dlapto%252Caps%252C360%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
2,"Dell 15 Thin & Light Laptop, Intel Core i5-1235U Processor/16GB DDR4/512GB SSD/Intel UHD Graphics/15.6"" (39.62cm) FHD Display/Windows 11 + MSO'21/15 Month McAfee/Carbon Black/Spill-Resistant KB/1.69kg  ","51,990",https://amazon.in//Dell-15-Processor-Antivirus-Spill-Resistant/dp/B0BQJ7WR2R/ref=sr_1_52?crid=2AZFGVVZZZ6C8&dib=eyJ2IjoiMSJ9.RMeNVCC_BjIlw77Egxm9w0Nqevj25fHXewD8_cnMqilhcgDsXyA2DMzc9mJkxNmD6X-JMHx_K6VNx5V-ShNQroc2fDJ5n61dUxJvJ9eNBUsQOCcbn7OeZ-7PmKwBhFhitaiqPBssfI_J4OcRYjkOvOpZsjXMFpTovGrQnya0KusjdOwwDgWTsYFhh5gTsHhMXt0v5MlSikQ90FGWEiZLmXxlTuGnobrTmDjQE2mbf-4.c1Yddvs9-WRsv7FjKeNUbqu_WF2-aiP6t6WtPIvcOxc&dib_tag=se&keywords=laptop&qid=1724515370&sprefix=lapto%2Caps%2C360&sr=8-52
3,"ASUS Vivobook 16 (2023), Intel Core i9-13900H 13th Gen, Thin & Light Laptop, 16"" (40.64 cm) FHD+,(16GB/512GB SSD/Intel Iris Xe/Win 11/Office 2021/Backlit KB/Fingerprint/Silver/1.88 kg) X1605VA-MB946WS  ","94,990",https://amazon.in//ASUS-Vivobook-i9-13900H-Fingerprint-X1605VA-MB946WS/dp/B0CHMYJ9BK/ref=sr_1_164?crid=2AZFGVVZZZ6C8&dib=eyJ2IjoiMSJ9.G6-ruRWEeq136Fb3KfXTnw-wLQF0NSVVPSyH53lp8AUkTPJhVHACJoh5k5q1Nj3D8o-daVEJ4Vb99sU3ECPZEdRNq5SPHH4NGVQjXa8isuihmicwo9o85se6fa8r4lBSLz0n5Ek8ribXNUqW-vcktY13naYItU1uU14tK2FqHCjB3e5kbkmrM0n8EUECR_myzEBrsk4uxRw5GzeUJKV_R5WW8pQrOrmmDFlDmsWoGrg.56-nYtZHDEVJRfNh09HPtS7UyDsQz_t0IvHPQTtUGgo&dib_tag=se&keywords=laptop&qid=1724515407&sprefix=lapto%2Caps%2C360&sr=8-164
4,"MSI Modern 15, Intel 12th Gen. i3-1215U, 40CM FHD 60Hz Laptop (8GB/512GB NVMe SSD/Windows 11 Home/Intel UHD Graphics/Classic Black/1.7Kg), B12M-613IN  ","31,990",https://amazon.in//MSI-i3-1215U-Windows-Graphics-B12M-613IN/dp/B0C9JF29FC/ref=sr_1_290?crid=2AZFGVVZZZ6C8&dib=eyJ2IjoiMSJ9.D4s5aa8_FV1kG7AMcEnYLQI_F0Kki8LrDOry6isT0gpgBFE153w57rdxlmJ1zUYu6hhstB4yvaT_xCjuJCYaH1R4uv5naMiCKGOnZyO-3wNpdESdua99ExYMVQwUAGvwZyLI-JrRvrhAOVEk2mQ90-06e-muzDW-wfNaPPKJuBG90xYHDwAgrZNB_hoInpv-766iUNFzCymvwxxgVMDowJ0F0dhBZkEQ-GKXBY3CJDI.dMTcoCBh2a0nuqiALyy97ogcx1p20SpYixSgxAPF7l4&dib_tag=se&keywords=laptop&qid=1724515473&sprefix=lapto%2Caps%2C360&sr=8-290
5,"Lenovo IdeaPad Flex 5 12th Gen Intel Core i5-1235U 14""(35.56cm) WUXGA IPS 2-in-1 Laptop (16GB/512GB SSD/Win 11/Office 21/Backlit KB/Fingerprint/FHD Camera/Alexa/3 mon Game Pass/Grey/1.5Kg), 82R700JJIN  ","64,490",https://amazon.in//Lenovo-IdeaPad-i5-1235U-Fingerprint-82R70069IN/dp/B0B7RZCVLC/ref=sr_1_145?crid=2AZFGVVZZZ6C8&dib=eyJ2IjoiMSJ9.uhOVKi2m8zs4rILPs_OSYLxm5Ww4T15x2mkw8wv5gK2E-jC22ZcOfrNZd91FG6eEilDZCuKiK0oSfXFf5Lbu2VFeT9aYmFUMbIee5mxvwIA5b7DXrNVYxT7p0MTEVRL0o7FEUCcRIOWBp1bvIeAmL_yk401MK1MkN9r64iEZJYEeViRKFHoZHaKixYEWh-dN5CjBVb-YCUO0iq36cyqPuoCHwLGDbG2UtqA3h-ZlaJk.TmIePhWVOqY9MchmHrPfEjOpxNzbVA9u9JhakE5qcHw&dib_tag=se&keywords=laptop&qid=1724515394&sprefix=lapto%2Caps%2C360&sr=8-145
6,"ASUS Vivobook 16X, 16"" (40.64cm) WUXGA 16:10 60 Hz, Intel Core i5-12500H, Creator Laptop (16GB DDR4/512GB SSD/NVIDIA GeForce RTX 2050/Win 11/Office 2021/Indie Black/1.8 Kg), K3605ZF-MBN545WS  ","56,990",https://amazon.in//ASUS-Vivobook-40-64cm-WUXGA-K3605ZF-MBN545WS/dp/B09TB4Y7SN/ref=sr_1_109?crid=2AZFGVVZZZ6C8&dib=eyJ2IjoiMSJ9.QLb8QNV-YxTkMMtU0ZG55-OWUiFUgenKPpLD8bKCIZCYKEUeVKNnWPZgl-9bX91I2xXMlkjxm3iljNhAfPOnY7vfW_vHfVxXoIuKhdQh_vnS3d_N4pvvZHqgVWioY2bEyKb1FYiGNngxL1iBHGm2x6NgzJhrRpYE43JheIzQn2Cfs6VJOxsk7lHl-nZBnwaHdsY7GphxaQK8Eogitrxkk9YmNGyswcUNLLM3MZpLttE.x7Vodj7Dl6cgFp7oI79DsNDP_mbq9r5-XgE34ydPrhA&dib_tag=se&keywords=laptop&qid=1724515384&sprefix=lapto%2Caps%2C360&sr=8-109
7,"ASUS Vivobook 14, IntelCore i3-1215U 12th Gen, Thin and Light Laptop, 14"" (35.56 cm) FHD, (8 GB RAM/512GB SSD/Windows11/Office 2021/Fingerprint/42WHr /Silver/1.40 kg), X1404ZA-NK322WS  ","34,990",https://amazon.in//ASUS-Vivobook-IntelCore-Fingerprint-X1404ZA-NK322WS/dp/B0CCPBPYSB/ref=sr_1_30?crid=2AZFGVVZZZ6C8&dib=eyJ2IjoiMSJ9.DHj-wFrd-_ZRisqddUZMwrvZ8S8xdGwtl4lW6wlqu7zSIxoAXQQhlrZPh503DjJeQX5uG3hMHSaOZgpOHgy_zg0Q3cLIahK_4UsaSVVv_oRcFpbQ5I9BZ_vVjFVx5g6PiGcdBxU94U4xBh8_otYIxjL-EDegFCPpA7ExC2lNq4TF0eAcmaimc5KMMluAoVldwdfZkf4qGJ2xUnVGnljDPCbVRvNrEYHrZhDr-Z5sIhw.YUQW2EKtLiLW3ZL2L-4PX-XmJDudMONF2qwEOc3w4nw&dib_tag=se&keywords=laptop&qid=1724515359&sprefix=lapto%2Caps%2C360&sr=8-30
8,"Lenovo IdeaPad 1 AMD Ryzen 3 7320U 15.6"" HD Thin and Light Laptop (8 GB/512GB SDD/Windows 11 Home/Office 2021/1Yr ADP Free/Cloud Grey/1.58Kg), 82VG00EVIN  ","30,809",https://amazon.in//Lenovo-IdeaPad-Windows-Warranty-82VG00EVIN/dp/B0CJLP39RS/ref=sr_1_159?crid=2AZFGVVZZZ6C8&dib=eyJ2IjoiMSJ9.7ieyUayv7mpVkOjykEoEK8QdSAjpXU2jdYxV_voxGa2J6j5DZvpwBaxPHmV3brnZ7g-8SnAiAxJOf_z4D3d7I9u6qS4DOED0tL_8celsKPDTuszwDDbbVbCZ4Ufcu4chE7QUhG9Y7a2V4qzgD97OcD_w7Te6JW79MDl0bK0cDZLKQl2fmxgBp7A1MG_KI99xyLgWhQuZu0YDDyJp2mi_9grCjauspVpDucYhtbulzUw.VKEnHjpL7i-2wNQG0bQrIBG55tduZNYCwzasWJEABBs&dib_tag=se&keywords=laptop&qid=1724515399&sprefix=lapto%2Caps%2C360&sr=8-159
9,Acer Travelmate Business Laptop Intel Core i7-11th Gen (Windows 11 Home/16 GB Ram/1TB SSD/Intel Iris Xe Graphics/14.0 IPS Display/Backlit Keyboard/Fingerprint Sensor) TMP214-53  ,"44,990",https://amazon.in//Acer-Travelmate-Business-Fingerprint-TMP214-53/dp/B0CHRPJCSG/ref=sr_1_233?crid=2AZFGVVZZZ6C8&dib=eyJ2IjoiMSJ9.xDt-5gnbhhLG7cNLQbddWbYZ6M-Tx_EZUy9g4uHQqKDaXl82ZCxlf0g5xK7rq4_2qp5NtKqHxqLM9hyeNVL-85bv03Ve5kMoaluHEt0q9thhEbO3Fl5zYh2ohBEWL-11fFBX-_h_I5rrU-mKWBoQFZ8yDrfGamcvNmoylWo14CjcsMIbVGhOt4QbEkys2577CMMd8fz1GjbwcP876nB2v4NeHj1R5qfBb7Mw1GCNBzI.Dy2u5UUzr_n3Hue6zEu-s2W6eAsICE9Y9vDbumkRJ8I&dib_tag=se&keywords=laptop&qid=1724515440&sprefix=lapto%2Caps%2C360&sr=8-233
